url,name
https://stalmetural.ru/catalog/armatura-as2-as300/,Арматура АС2 (АС300)
https://stalmetural.ru/catalog/armatura-at1000k/,Арматура Ат1000К
https://stalmetural.ru/catalog/armatura-at400s/,Арматура Ат400С
https://stalmetural.ru/catalog/armatura-at600/,Арматура Ат600
https://stalmetural.ru/catalog/armatura-at600k/,Арматура Ат600К
https://stalmetural.ru/catalog/armatura-at600s/,Арматура Ат600С
https://stalmetural.ru/catalog/armatura-at800k/,Арматура Ат800К
https://stalmetural.ru/catalog/armaturnye-karkasy/,Арматурный каркас
https://stalmetural.ru/catalog/kombinirovannaya-armatura/,Комбинированная арматура
https://stalmetural.ru/catalog/ugleplastikovaya-armatura/,Углепластиковая арматура
https://stalmetural.ru/catalog/kompozitnaya-armatura-dlya-fundamenta/,Композитная арматура для фундамента
https://stalmetural.ru/catalog/mufty-dlya-armatury/,Муфты для арматуры
https://stalmetural.ru/catalog/hrizotilcement/,Хризотилцемент
https://stalmetural.ru/catalog/listy-hrizotilcementnye-volnistye/,Хризотилцементные волнистые листы
https://stalmetural.ru/catalog/listy-hrizotilcementnye-ploskie/,Хризотилцементные плоские листы
https://stalmetural.ru/catalog/truba-hrizotilcementnaya-napornaya/,Хризотилцементные напорные трубы
https://stalmetural.ru/catalog/shchity-upravleniya-ventilyaciey/,Щиты управления
https://stalmetural.ru/catalog/kontrollery-dlya-ventilyacii/,Контроллеры управления
https://stalmetural.ru/catalog/datchiki-dlya-sistem-ventilyacii/,"Датчики (температуры, влажности, CO2, давления)"
https://stalmetural.ru/catalog/elektroprivody-dlya-klapanov/,Приводы для клапанов (электроприводы)
https://stalmetural.ru/catalog/regulyator-skorosti-ventilyatora/,Регуляторы скорости вентиляторов
https://stalmetural.ru/catalog/termostat-dlya-ventilyacii/,Термостаты
https://stalmetural.ru/catalog/kassetnye-fankoyly/,Фанкойл кассетный
https://stalmetural.ru/catalog/kanalnye-fankoyly/,Фанкойл канальный
https://stalmetural.ru/catalog/nastennye-fankoyly/,Фанкойл настенный
https://stalmetural.ru/catalog/napolnye-fankoyly/,Фанкойл напольный
https://stalmetural.ru/catalog/napolno-potolochnye-fankoyly/,Фанкойл напольно-потолочный
https://stalmetural.ru/catalog/kanalnye-ventilyatory/,"Канальные (круглые, прямоугольные)"
https://stalmetural.ru/catalog/osevye-ventilyatory/,Осевые
