url,city,country
https://met-trans.ru/,Москва,Россия
https://abakan.met-trans.ru/,Абакан,Россия
https://aktau.mtt.kz/,Актау,Казахстан
https://aktobe.mtt.kz/,Актобе,Казахстан
https://arhangelsk.met-trans.ru/,Архангельск,Россия
https://astrahan.met-trans.ru/,Астрахань,Россия
https://atyrau.mtt.kz/,Атырау,Казахстан
https://barnaul.met-trans.ru/,Барнаул,Россия
https://belgorod.met-trans.ru/,Белгород,Россия
https://blagovechensk.met-trans.ru/,Благовещенск,Россия
https://brest.met-trans.by/,Брест,Беларусь
https://bryansk.met-trans.ru/,Брянск,Россия
https://cheboksary.met-trans.ru/,Чебоксары,Россия
https://chel.met-trans.ru/,Челябинск,Россия
https://chelny.met-trans.ru/,Набережные Челны,Россия
https://cherepovets.met-trans.ru/,Череповец,Россия
https://chita.met-trans.ru/,Чита,Россия
https://donetsk.met-trans.ru/,Донецк,Украина
https://ekb.met-trans.ru/,Екатеринбург,Россия
https://gomel.met-trans.by/,Гомель,Беларусь
https://grodno.met-trans.by/,Гродно,Беларусь
https://hanty.met-trans.ru/,Ханты-Мансийск,Россия
https://herson.met-trans.ru/,Херсон,Украина
https://irkutsk.met-trans.ru/,Иркутск,Россия
https://ivanovo.met-trans.ru/,Иваново,Россия
https://izhevsk.met-trans.ru/,Ижевск,Россия
https://kaliningrad.met-trans.ru/,Калининград,Россия
https://kaluga.met-trans.ru/,Калуга,Россия
https://kazan.met-trans.ru/,Казань,Россия
https://kemerovo.met-trans.ru/,Кемерово,Россия
https://khabarovsk.met-trans.ru/,Хабаровск,Россия
https://kirov.met-trans.ru/,Киров,Россия
https://kostanay.mtt.kz/,Костанай,Казахстан
https://kostroma.met-trans.ru/,Кострома,Россия
https://krasnodar.met-trans.ru/,Краснодар,Россия
https://krasnoyarsk.met-trans.ru/,Красноярск,Россия
https://kurgan.met-trans.ru/,Курган,Россия
https://kursk.met-trans.ru/,Курск,Россия
https://kyzylorda.mtt.kz/,Кызылорда,Казахстан
https://lipetsk.met-trans.ru/,Липецк,Россия
https://lugansk.met-trans.ru/,Луганск,Украина
https://magnitogorsk.met-trans.ru/,Магнитогорск,Россия
https://mahachkala.met-trans.ru/,Махачкала,Россия
https://mariupol.met-trans.ru/,Мариуполь,Украина
https://melitopol.met-trans.ru/,Мелитополь,Украина
https://met-trans.am/,Ереван,Армения
https://met-trans.az/,Баку,Азербайджан
https://met-trans.by/,Минск,Беларусь
https://met-trans.uz/,Ташкент,Узбекистан
https://mettransterminal.kz/,Алматы,Казахстан
https://mogilev.met-trans.by/,Могилев,Беларусь
https://mtt-karaganda.kz/,Караганда,Казахстан
https://mtt-shymkent.kz/,Шымкент,Казахстан
https://mtt.kg/,Бишкек,Киргизия
https://murmansk.met-trans.ru/,Мурманск,Россия
https://n-urengoy.met-trans.ru/,Новый Уренгой,Россия
https://nizhnevartovsk.met-trans.ru/,Нижневартовск,Россия
https://nn.met-trans.ru/,Нижний Новгород,Россия
https://novgorod.met-trans.ru/,Великий Новгород,Россия
https://novocherkassk.met-trans.ru/,Новочеркасск,Россия
https://novokuznetsk.met-trans.ru/,Новокузнецк,Россия
https://novorossiysk.met-trans.ru/,Новороссийск,Россия
https://ns.mtt.kz/,Нур-Султан (Астана),Казахстан
https://nsk.met-trans.ru/,Новосибирск,Россия
https://ola.met-trans.ru/,Йошкар-Ола,Россия
https://omsk.met-trans.ru/,Омск,Россия
https://orel.met-trans.ru/,Орёл,Россия
https://orenburg.met-trans.ru/,Оренбург,Россия
https://osh.mtt.kg/,Ош,Киргизия
https://pavlodar.mtt.kz/,Павлодар,Казахстан
https://penza.met-trans.ru/,Пенза,Россия
https://perm.met-trans.ru/,Пермь,Россия
https://petropavl.mtt.kz/,Петропавловск,Казахстан
https://petropavlovsk.met-trans.ru/,Петропавловск-Камчатский,Россия
https://petrozavodsk.met-trans.ru/,Петрозаводск,Россия
https://podolsk.met-trans.ru/,Подольск,Россия
https://pskov.met-trans.ru/,Псков,Россия
https://pyatigorsk.met-trans.ru/,Пятигорск,Россия
https://rostov.met-trans.ru/,Ростов-на-Дону,Россия
https://ryazan.met-trans.ru/,Рязань,Россия
https://sakhalinsk.met-trans.ru/,Южно-Сахалинск,Россия
https://samara.met-trans.ru/,Самара,Россия
https://saransk.met-trans.ru/,Саранск,Россия
https://saratov.met-trans.ru/,Саратов,Россия
https://semey.mtt.kz/,Семей,Казахстан
https://sevastopol.met-trans.ru/,Севастополь,Россия
https://simferopol.met-trans.ru/,Симферополь,Россия
https://smolensk.met-trans.ru/,Смоленск,Россия
https://sochi.met-trans.ru/,Сочи,Россия
https://spb.met-trans.ru/,Санкт-Петербург,Россия
https://stavropol.met-trans.ru/,Ставрополь,Россия
https://sterlitamak.met-trans.ru/,Стерлитамак,Россия
https://surgut.met-trans.ru/,Сургут,Россия
https://syktyvkar.met-trans.ru/,Сыктывкар,Россия
https://taganrog.met-trans.ru/,Таганрог,Россия
https://tambov.met-trans.ru/,Тамбов,Россия
https://taraz.mtt.kz/,Тараз,Казахстан
https://tobolsk.met-trans.ru/,Тобольск,Россия
https://tolyatti.met-trans.ru/,Тольятти,Россия
https://tomsk.met-trans.ru/,Томск,Россия
https://tula.met-trans.ru/,Тула,Россия
https://tver.met-trans.ru/,Тверь,Россия
https://tyumen.met-trans.ru/,Тюмень,Россия
https://ufa.met-trans.ru/,Уфа,Россия
https://ulan-ude.met-trans.ru/,Улан-Удэ,Россия
https://ulianovsk.met-trans.ru/,Ульяновск,Россия
https://uralsk.mtt.kz/,Уральск,Казахстан
https://ustkamen.mtt.kz/,Усть-Каменогорск,Казахстан
https://vitebsk.met-trans.by/,Витебск,Беларусь
https://vladimir.met-trans.ru/,Владимир,Россия
https://vladivostok.met-trans.ru/,Владивосток,Россия
https://volgodonsk.met-trans.ru/,Волгодонск,Россия
https://volgograd.met-trans.ru/,Волгоград,Россия
https://vologda.met-trans.ru/,Вологда,Россия
https://volzhsky.met-trans.ru/,Волжский,Россия
https://voronezh.met-trans.ru/,Воронеж,Россия
https://yakutsk.met-trans.ru/,Якутск,Россия
https://yaroslavl.met-trans.ru/,Ярославль,Россия
